epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.352,1.70593,6.53136,0.40815,2.78403,1.37048,0.82782,0.87352,0.91906,0.53134,0.22348,0.28266,0.13038,0.0384,1.44515,6.36702,0.15258,1.79112,1.0829,0.00038341,0.00038341,0.00038341
2,169.241,1.47871,6.76746,0.3595,2.09102,1.19981,0.74348,0.79351,0.87308,0.51517,0.18534,0.17786,0.11363,0.01877,1.37926,7.47076,0.21475,2.43413,1.29973,0.000775733,0.000775733,0.000775733
3,256.56,1.44753,7.11608,0.30802,1.86026,1.24622,0.74733,0.72571,0.74145,0.42986,0.24,0.13786,0.07073,0.01304,1.50133,7.86337,0.20778,2.05313,1.31686,0.00116014,0.00116014,0.00116014
4,342.279,1.46203,7.1392,0.31051,1.72278,1.2713,0.85397,0.68699,0.75846,0.46343,0.11492,0.16,0.07335,0.01132,1.54087,7.73119,0.19964,2.23099,1.33983,0.00153662,0.00153662,0.00153662
5,426.711,1.38432,7.00775,0.26652,1.53731,1.22104,0.8533,0.74357,0.81739,0.41033,0.03782,0.1,0.01021,0.00233,1.6852,7.53487,0.13625,2.12503,1.56643,0.00160099,0.00160099,0.00160099
6,512.832,1.47387,6.8873,0.28496,1.59418,1.32909,0.68512,0.62494,0.6913,0.37922,0.13561,0.09786,0.05924,0.0089,1.69206,7.30199,0.11073,3.18222,1.67539,0.00158448,0.00158448,0.00158448
7,597.95,1.49193,6.97381,0.28256,1.41862,1.3237,0.60067,0.67,0.67485,0.41093,0.24612,0.09786,0.05685,0.00791,1.65713,7.79208,0.16991,2.46421,1.50506,0.00156798,0.00156798,0.00156798
8,685.203,1.39749,6.58803,0.268,1.33792,1.281,0.62172,0.56549,0.55817,0.31061,0.19067,0.12,0.0641,0.01118,1.82954,7.75794,0.13354,2.14833,1.68884,0.00155148,0.00155148,0.00155148
9,772.181,1.39358,6.79328,0.24337,1.22371,1.21257,0.69805,0.61397,0.70343,0.37834,0.21791,0.14,0.08886,0.01266,1.74504,7.49984,0.11112,1.54891,1.60094,0.00153497,0.00153497,0.00153497
10,859.581,1.34193,6.48761,0.21786,1.10878,1.18503,0.81624,0.72143,0.82718,0.46956,0.78765,0.18,0.11921,0.02224,1.44679,7.16216,0.12078,1.21074,1.38562,0.00151847,0.00151847,0.00151847
11,944.708,1.38096,6.69136,0.25086,1.15931,1.27551,0.86369,0.6546,0.71898,0.37678,0.28528,0.17786,0.10758,0.02025,1.76059,7.62701,0.17172,1.51241,1.68948,0.00150197,0.00150197,0.00150197
12,1029.78,1.34031,6.5027,0.22762,1.15642,1.21847,0.71799,0.87741,0.86218,0.49524,0.22735,0.17571,0.12996,0.03001,1.40768,6.69778,0.11092,1.4287,1.36103,0.00148546,0.00148546,0.00148546
13,1114.24,1.27513,6.40042,0.20263,1.06936,1.18196,0.80761,0.86643,0.80623,0.48026,0.21693,0.19571,0.06951,0.01864,1.41256,7.02828,0.08401,1.47151,1.3349,0.00146896,0.00146896,0.00146896
14,1196.02,1.33408,6.47696,0.22507,1.16957,1.23485,0.77918,0.73133,0.85978,0.51531,0.17157,0.15786,0.05591,0.01825,1.46955,7.13032,0.07785,1.41171,1.3606,0.00145246,0.00145246,0.00145246
15,1276.83,1.28086,6.47084,0.2443,1.12017,1.2034,0.93859,0.7536,0.90099,0.55429,0.25465,0.21269,0.09923,0.02929,1.39592,6.86814,0.07711,1.13282,1.30473,0.00143595,0.00143595,0.00143595
16,1359.67,1.31126,6.29296,0.19899,1.02005,1.22477,0.99288,0.79089,0.90843,0.59865,0.26442,0.19571,0.08806,0.01322,1.30793,6.78276,0.08677,0.98584,1.24512,0.00141945,0.00141945,0.00141945
17,1441.2,1.22488,6.1616,0.21877,0.94701,1.12009,0.92892,0.84752,0.9052,0.5452,0.24388,0.21357,0.09854,0.01923,1.50073,6.57352,0.10132,0.98699,1.33123,0.00140295,0.00140295,0.00140295
18,1522.53,1.25475,6.03935,0.18518,1.00023,1.15787,0.86921,0.83208,0.91846,0.53999,0.37523,0.21786,0.13606,0.0268,1.41155,6.57856,0.13463,0.93911,1.318,0.00138644,0.00138644,0.00138644
19,1603.88,1.18844,6.10905,0.21371,0.93987,1.1292,0.8871,0.90065,0.92962,0.61282,0.28569,0.27571,0.15788,0.03507,1.27491,6.60309,0.11776,0.90245,1.26187,0.00136994,0.00136994,0.00136994
20,1685.46,1.1153,5.88417,0.17371,0.87001,1.10585,0.9731,0.84839,0.94318,0.61885,0.30413,0.25357,0.16787,0.04266,1.31365,6.50948,0.09663,0.86479,1.27104,0.00135344,0.00135344,0.00135344
21,1766.76,1.16866,5.87738,0.19043,0.87067,1.10958,0.92367,0.83003,0.92022,0.61278,0.44661,0.21786,0.16929,0.04818,1.3235,6.35452,0.07279,0.83508,1.2587,0.00133693,0.00133693,0.00133693
22,1848.17,1.2075,5.82675,0.19834,0.89746,1.12288,0.93563,0.81601,0.93617,0.59531,0.38776,0.27571,0.18385,0.05254,1.35976,6.22837,0.08092,0.80914,1.29796,0.00132043,0.00132043,0.00132043
23,1929.54,1.09408,5.70913,0.19888,0.85879,1.09242,0.94952,0.92214,0.97061,0.6034,0.40359,0.24192,0.22288,0.05601,1.34875,6.23674,0.09735,0.83307,1.32862,0.00130393,0.00130393,0.00130393
24,2010.81,1.11062,5.78669,0.18989,0.88274,1.08849,0.93371,0.88036,0.95014,0.5537,0.33277,0.29143,0.17539,0.03982,1.44047,6.23774,0.1512,0.84025,1.36541,0.00128742,0.00128742,0.00128742
25,2092.19,1.1188,5.33994,0.18823,0.7966,1.09381,0.82368,0.90429,0.91186,0.54372,0.37336,0.31143,0.19296,0.04627,1.41493,6.31551,0.18693,0.84726,1.30212,0.00127092,0.00127092,0.00127092
26,2173.57,1.09539,5.71899,0.18487,0.8127,1.08798,0.88628,0.87286,0.93199,0.55444,0.26459,0.27143,0.14552,0.05197,1.38051,6.34231,0.11165,0.9379,1.29961,0.00125442,0.00125442,0.00125442
